Order_ID,Customer_Name,Age,Gender,City,State,Email,Phone,Order_Date,Delivery_Date,Product,Category,Quantity,Price,Discount,Revenue,Payment_Method,Rating,Phone_Valid,Reveune_Valid,Age_Group,VIP_Customer,High_Rating
1001,Neha Patel,27,Male,Delhi,Uttar Pradesh,user0@gmail.com,9883197857,2025-01-10,2025-01-15,Mobile,Accessories,1,500,0.1,450.0,Cash,0,True,True,Young,No,No
1002,Neha Patel,36,Male,Surat,Uttar Pradesh,user1@gmail.com,9897226012,2025-01-10,2025-01-15,Chair,Electronics,1,500,0.05,475.0,UPI,4,True,True,Adult,No,No
1003,Rahul Singh,42,Female,Pune,Gujarat,user2@gmail.com,9830868105,2025-01-10,2025-01-15,Tablet,Furniture,5,2500,0.0,12500.0,Cash,1,True,True,Adult,No,No
1004,Pooja Verma,47,Female,Jaipur,Maharashtra,user3@gmail.com,9871662963,2025-01-10,2025-01-15,Chair,Electronics,1,5000,0.0,5000.0,Cash,1,True,True,Adult,No,No
1005,Pooja Verma,38,Male,Delhi,Maharashtra,user4@gmail.com,9898753260,2025-01-10,2025-01-15,Tablet,Furniture,5,2500,0.2,10000.0,Cash,1,True,True,Adult,No,No
1007,Rohit Gupta,43,Male,Ahmedabad,Rajasthan,user6@gmail.com,9860929647,2025-01-10,2025-01-15,Monitor,Accessories,1,10000,0.05,9500.0,Credit Card,5,True,True,Adult,No,Yes
1008,Amit Kumar,27,Male,Pune,Rajasthan,user7@gmail.com,9845935572,2025-01-10,2025-01-15,Mobile,Electronics,2,20000,0.1,36000.0,Credit Card,3,True,True,Young,Yes,No
1010,Arjun Mehta,33,Female,Pune,Delhi,user9@gmail.com,9828566572,2025-01-10,2025-01-15,Chair,Electronics,3,20000,0.2,48000.0,UPI,1,True,True,Adult,Yes,No
1011,Arjun Mehta,39,Male,Indore,Rajasthan,user10@gmail.com,9889978790,2025-01-10,2025-01-15,Printer,Accessories,1,1000,0.05,950.0,Cash,5,True,True,Adult,No,Yes
1013,Rohit Gupta,49,Male,Jaipur,Uttar Pradesh,user12@gmail.com,9878137358,2025-01-10,2025-01-15,Desk,Electronics,3,10000,0.05,28500.0,UPI,3,True,True,Adult,No,No
1014,Amit Kumar,39,Female,Lucknow,Maharashtra,user13@gmail.com,9825014631,2025-01-10,2025-01-15,Keyboard,Furniture,2,10000,0.2,16000.0,Cash,2,True,True,Adult,No,No
1015,Priya Sharma,22,Female,Delhi,Madhya Pradesh,user14@gmail.com,9826879290,2025-01-10,2025-01-15,Headphones,Accessories,1,1000,0.2,800.0,Cash,5,True,True,Young,No,Yes
1017,Priya Sharma,27,Male,Delhi,Gujarat,user16@gmail.com,9812823170,2025-01-10,2025-01-15,Desk,Accessories,4,10000,0.15,34000.0,UPI,5,True,True,Young,Yes,Yes
1018,Amit Kumar,27,Male,Mumbai,Gujarat,user17@gmail.com,9819510312,2025-01-10,2025-01-15,Chair,Electronics,2,500,0.0,1000.0,Cash,4,True,True,Young,No,No
1019,Kiran Shah,38,Female,Surat,Rajasthan,user18@gmail.com,9864634663,2025-01-10,2025-01-15,Tablet,Electronics,2,10000,0.05,19000.0,UPI,4,True,True,Adult,No,No
1020,Sneha Jain,47,Male,Delhi,Maharashtra,user19@gmail.com,9864038913,2025-01-10,2025-01-15,Keyboard,Furniture,3,5000,0.15,12750.0,UPI,2,True,True,Adult,No,No
1021,Sneha Jain,24,Female,Ahmedabad,Gujarat,user20@gmail.com,9872092888,2025-01-10,2025-01-15,Tablet,Furniture,2,1000,0.2,1600.0,UPI,10,True,True,Young,No,Yes
1022,Rohit Gupta,46,Male,Delhi,Delhi,user21@gmail.com,9832321899,2025-01-10,2025-01-15,Mouse,Electronics,5,500,0.0,2500.0,Cash,2,True,True,Adult,No,No
1023,Arjun Mehta,20,Female,Jaipur,Rajasthan,user22@gmail.com,9848285503,2025-01-10,2025-01-15,Mouse,Accessories,4,500,0.05,1900.0,Credit Card,5,True,True,Young,No,Yes
1024,Vikram Joshi,26,Male,Mumbai,Uttar Pradesh,user23@gmail.com,9852091325,2025-01-10,2025-01-15,Laptop,Electronics,4,1000,0.05,3800.0,Credit Card,4,True,True,Young,No,No
1025,Rahul Singh,21,Male,Ahmedabad,Maharashtra,user24@gmail.com,9889864260,2025-01-10,2025-01-15,Mobile,Accessories,5,50000,0.2,200000.0,UPI,4,True,True,Young,Yes,No
1026,Kiran Shah,39,Male,Delhi,Rajasthan,user25@gmail.com,9898231132,2025-01-10,2025-01-15,Desk,Accessories,1,10000,0.05,9500.0,Credit Card,3,True,True,Adult,No,No
1027,Neha Patel,28,Female,Ahmedabad,Uttar Pradesh,user26@gmail.com,9896637649,2025-01-10,2025-01-15,Monitor,Electronics,3,1000,0.1,2700.0,Cash,1,True,True,Young,No,No
