Order_ID,Customer_Name,Age,Gender,City,State,Email,Phone,Order_Date,Delivery_Date,Product,Category,Quantity,Price,Discount,Revenue,Payment_Method,Rating
1001,Neha Patel,27.0,Male,Delhi,Uttar Pradesh,user0@gmail.com,9883197857,2025-01-10,2025-01-15,Mobile,Accessories,1,500,0.1,450.0,Cash,0
1002,Neha Patel,36.0,Male,Surat,Uttar Pradesh,user1@gmail.com,9897226012,2025-01-10,2025-01-15,Chair,Electronic,1,500,0.05,475.0,UPI,4
1003,Rahul Singh,42.0,Female,Pune,Gujarat,user2@gmail.com,9830868105,2025-01-10,2025-01-15,Tablet,Furniture,5,2500,0.0,12500.0,Cash,1
1004,Pooja Verma,47.0,Female,Jaipur,Maharashtra,user3@gmail.com,9871662963,2025-01-10,2025-01-15,Chair,Electronics,1,5000,0.0,5000.0,Cash,1
1005,Pooja Verma,38.0,Male,Delhi,Maharashtra,user4@gmail.com,9898753260,2025-01-10,2025-01-15,Tablet,Furniture,5,2500,0.2,10000.0,Cash,1
1006,Arjun Mehta,150.0,Female,Pune,Delhi,user5@gmail.com,9859684848,2025-01-10,2025-01-15,Keyboard,electronics,0,50000,0.0,100000.0,Credit Card,3
1007,Rohit Gupta,43.0,Male,Ahmedabad,Rajasthan,user6@gmail.com,9860929647,2025-01-10,2025-01-15,Monitor,accessories,1,10000,0.05,9500.0,Credit Card,5
1008,Amit Kumar,27.0,Male,Pune,Rajasthan,user7@gmail.com,9845935572,2025-01-10,2025-01-15,Mobile,electronics,2,20000,0.1,36000.0,Credit Card,3
1009,Arjun Mehta,48.0,Female,Ahmedabad,Gujarat,user8@gmail.com,9828740864,2025-01-10,2025-01-15,Tablet,accessories,-2,20000,0.15,34000.0,Credit Card,5
1010,Arjun Mehta,999.0,Female,Pune,Delhi,user9@gmail.com,9828566572,2025-01-10,2025-01-15,Chair,Electronic,3,20000,0.2,48000.0,UPI,1
1011,Arjun Mehta,39.0,Male,Indore,Rajasthan,user10@gmail.com,9889978790,2025-01-10,2025-01-15,Printer,Accessories,1,1000,0.05,950.0,Cash,5
1012,Rohit Gupta,44.0,Female,Pune,Maharashtra,user11@gmail.com,9849392920,2025-01-10,2025-01-15,Mouse,electronics,-2,20000,0.0,20000.0,Cash,1
1013,Rohit Gupta,49.0,Male,Jaipur,Uttar Pradesh,user12@gmail.com,9878137358,2025-01-10,2025-01-15,Desk,electronics,3,10000,0.05,28500.0,UPI,3
1014,Amit Kumar,39.0,Female,Lucknow,Maharashtra,user13@gmail.com,9825014631,2025-01-10,2025-01-15,Keyboard,Furniture,2,10000,0.2,16000.0,Cash,2
1015,Priya Sharma,22.0,Female,Delhi,Madhya Pradesh,user14@gmail.com,9826879290,2025-01-10,2025-01-15,Headphones,accessories,1,1000,0.2,800.0,Cash,5
